"file_name","ground_truth_num_label","ground_truth_word_label","predicted_label","predicted_word_label","dataset","top3_label_1","top3_prob_1","top3_label_2","top3_prob_2","top3_label_3","top3_prob_3"
"ATT248_13XX3_2023_photo1-20230510-144821.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.7168718576431274","4","0.26875799894332886","7","0.007508826907724142"
"ATT1012_721XX4_photo4-20190819-113924.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9999961853027344","5","0.000003778335440074443","1","8.366349391053518e-8"
"ATT3603_810XX2_2023_photo1-20230919-112145.jpg","1","Broadleaved Mixed and Yew Woodland","1","Broadleaved Mixed and Yew Woodland","./data/CS_Xplots_2019_2023_test","1","0.988362729549408","2","0.011444593779742718","12","0.00006125772779341787"
"ATT157_494XX3_2022_photo1-20220510-102922.jpg","1","Broadleaved Mixed and Yew Woodland","1","Broadleaved Mixed and Yew Woodland","./data/CS_Xplots_2019_2023_test","1","0.9999719858169556","2","0.000027644240617519245","4","2.8109903382755874e-7"
"ATT3174_1025XX3_2023_photo1-20230830-085511.jpg","10","Dwarf Shrub Heath","10","Dwarf Shrub Heath","./data/CS_Xplots_2019_2023_test","10","0.9995570778846741","12","0.0003504376218188554","8","0.00006708149157930166"
"ATT2384_1181XX2_2023_photo2-20230802-101852.jpg","8","Acid Grassland","8","Acid Grassland","./data/CS_Xplots_2019_2023_test","8","0.7585071921348572","10","0.19928637146949768","9","0.009779758751392365"
"ATT819_341XX2_photo2-20190821-151707.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9999996423721313","5","3.37338775580065e-7","0","2.063525883500006e-8"
"ATT1232_350XX1_photo3-20190909-164442.jpg","6","Neutral Grassland","6","Neutral Grassland","./data/CS_Xplots_2019_2023_test","6","0.6147559285163879","7","0.26515674591064453","5","0.11422176659107208"
"ATT856_428X2_2022_photo2-20220711-142046.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9998934268951416","5","0.00008055413491092622","6","0.00001329862789134495"
"ATT981_721XX3_photo1-20190820-101442.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.986801266670227","6","0.013125108554959297","7","0.00003166069291182794"
"ATT156_825X4_photo1-20190528-115906.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.9961898326873779","6","0.0030641057528555393","4","0.0007059049676172435"
"ATT229_1193X5_2022_photo1-20220524-112039.jpg","10","Dwarf Shrub Heath","10","Dwarf Shrub Heath","./data/CS_Xplots_2019_2023_test","10","0.9999414682388306","8","0.00005021863034926355","7","0.0000033939413697225973"
"ATT663_262XX3_2021_photo2-20210702-094449.jpg","8","Acid Grassland","8","Acid Grassland","./data/CS_Xplots_2019_2023_test","8","0.9993911981582642","6","0.0004775464185513556","7","0.00010521200601942837"
"ATT128_1130X1_photo1-20190522-111542.jpg","12","Bog","12","Bog","./data/CS_Xplots_2019_2023_test","12","0.9998462200164795","10","0.00014100763655733317","11","0.000007920314601506107"
"ATT1122_534XX1_photo3-20190827-130508.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9999916553497314","5","0.0000044798903218179476","1","0.0000018477362573321443"
"ATT506_602X4_2020_photo1-20200923-105829centre.jpg","8","Acid Grassland","8","Acid Grassland","./data/CS_Xplots_2019_2023_test","8","0.984050452709198","10","0.014672855846583843","12","0.0008198976865969598"
"ATT964_1272XX1_2021_photo3-20210819-133001.jpg","6","Neutral Grassland","6","Neutral Grassland","./data/CS_Xplots_2019_2023_test","6","0.5469054579734802","5","0.38647085428237915","8","0.061891499906778336"
"ATT457_346XX1_2021_photo2-20210615-102152.jpg","6","Neutral Grassland","6","Neutral Grassland","./data/CS_Xplots_2019_2023_test","6","0.9752405881881714","5","0.02290809154510498","7","0.0015865949681028724"
"ATT507_602X4_2020_photo2-20200923-105857centre.jpg","8","Acid Grassland","8","Acid Grassland","./data/CS_Xplots_2019_2023_test","8","0.998651921749115","9","0.0011304832296445966","10","0.00016682375280652195"
"ATT681_1115X5_2022_photo1-20220630-130910.jpg","12","Bog","12","Bog","./data/CS_Xplots_2019_2023_test","12","0.8971408605575562","10","0.09060221910476685","8","0.011502884328365326"
"ATT60_658X1_photo2-20190515-140817.jpg","8","Acid Grassland","8","Acid Grassland","./data/CS_Xplots_2019_2023_test","8","0.9997722506523132","6","0.0001503830135334283","7","0.00003982618000009097"
"ATT3034_1035X5_2023_photo2-20230823-124300.jpg","10","Dwarf Shrub Heath","10","Dwarf Shrub Heath","./data/CS_Xplots_2019_2023_test","10","0.9999961853027344","12","0.0000033108765364886494","15","1.8391627065739158e-7"
"ATT701_406XX5_2023_photo4-20230524-082922.jpg","6","Neutral Grassland","6","Neutral Grassland","./data/CS_Xplots_2019_2023_test","6","0.9995212554931641","5","0.0003339849063195288","8","0.00013141363160684705"
"ATT894_887X4_2021_photo2-20210605-125745.jpg","12","Bog","12","Bog","./data/CS_Xplots_2019_2023_test","12","0.5604564547538757","8","0.37404802441596985","10","0.04549264535307884"
"ATT2177_1099XX5_2023_photo2-20230714-103756.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9998536109924316","5","0.00008714260184206069","6","0.00004739993892144412"
"ATT1230_350XX1_photo1-20190909-164401.jpg","6","Neutral Grassland","6","Neutral Grassland","./data/CS_Xplots_2019_2023_test","6","0.9485893249511719","8","0.018954668194055557","5","0.016984926536679268"
"ATT315_287XX5_2022_photo3-20220607-094816.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.7713306546211243","6","0.22663675248622894","8","0.0014191697118803859"
"ATT320_781XX2_2023_photo1-20230516-123549.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9999949932098389","5","0.0000039627275327802636","1","3.0597081490668643e-7"
"ATT908_75X3_2023_photo2-20230602-092407.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.9485534429550171","4","0.05000372603535652","6","0.0011742654023692012"
"ATT1315_931X2_2019_IMG_3929.jpg","10","Dwarf Shrub Heath","10","Dwarf Shrub Heath","./data/CS_Xplots_2019_2023_test","10","0.9995585083961487","12","0.000189275000593625","8","0.00014893901243340224"
"ATT582_1248XX5_2022_photo2-20220620-142541.jpg","6","Neutral Grassland","6","Neutral Grassland","./data/CS_Xplots_2019_2023_test","6","0.9998986721038818","8","0.00006488333747256547","5","0.00002332405529159587"
"ATT53_737X3_2023_photo2-20230503-083321.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.9997139573097229","6","0.00025213175103999674","4","0.00001765037450240925"
"ATT1120_534XX1_photo1-20190827-130415.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9999936819076538","5","0.000005971646714897361","0","1.5110290974007512e-7"
"ATT163_244XX3_2020_photo2-20200819-151843.jpg","4","Arable and Horticulture","4","Arable and Horticulture","./data/CS_Xplots_2019_2023_test","4","0.9998642206192017","3","0.000041500104998704046","1","0.00003892863969667815"
"ATT476_481XX3_2022_photo4-20220608-122745.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.9705311059951782","6","0.02858506515622139","0","0.0006792553467676044"
"ATT110_689X2_2020_photo4-20200814-120018.jpg","10","Dwarf Shrub Heath","10","Dwarf Shrub Heath","./data/CS_Xplots_2019_2023_test","10","0.8171517848968506","8","0.16892802715301514","12","0.013658860698342323"
"ATT744_1271XX1_2021_photo2-20210716-103712.jpg","10","Dwarf Shrub Heath","10","Dwarf Shrub Heath","./data/CS_Xplots_2019_2023_test","10","0.9998589754104614","12","0.00006580193439731374","8","0.00004422373967827298"
"ATT3332_654XX2_2023_photo1-20230905-114601.jpg","2","Coniferous Woodland","2","Coniferous Woodland","./data/CS_Xplots_2019_2023_test","2","0.9746889472007751","1","0.025065718218684196","0","0.00015881683793850243"
"ATT366_305XX5_2020_photo1-20200826-132912.jpg","1","Broadleaved Mixed and Yew Woodland","1","Broadleaved Mixed and Yew Woodland","./data/CS_Xplots_2019_2023_test","1","0.998052716255188","2","0.0019467457896098495","4","2.88662363345793e-7"
"ATT1220_414X7_photo2_2019.jpg","1","Broadleaved Mixed and Yew Woodland","1","Broadleaved Mixed and Yew Woodland","./data/CS_Xplots_2019_2023_test","1","0.9995660185813904","2","0.00040001230081543326","6","0.00003335381916258484"
"ATT1262_502X1_photo2-20190902-174833.jpg","1","Broadleaved Mixed and Yew Woodland","1","Broadleaved Mixed and Yew Woodland","./data/CS_Xplots_2019_2023_test","1","0.9958723187446594","4","0.0030467978212982416","6","0.0006536766304634511"
"ATT555_326XX1_2020_photo1-20200908-083036.jpg","5","Improved Grassland","5","Improved Grassland","./data/CS_Xplots_2019_2023_test","5","0.5580295920372009","6","0.4402320086956024","8","0.0007731589139439166"
